library_id,title,cycle,sub_process_id,sub_process,risk_factor,risk_name,risk_description,risk_category,risk_attr_financial,risk_attr_operations,risk_attr_compliance,romm_classification,significant_account,assertions,control_objective,control_activity,frequency,responsible_unit,iuc_or_system,related_system,related_policy,related_law,related_document,related_document_pbc_ids,company_status,design_gap_note,effectiveness,residual_risk,improvement,nature,approach,type,inputs,review_steps,outputs,investigation_threshold,dependent_controls,detailed_description,summary_description,control_id,tags,updated_at
LIB-REV-CUTOFF-01,銷售截止覆核（銷貨日報表）,銷售及收款循環,,,,收入截止錯誤,接近期末之出貨可能於不當會計期間認列收入,,[財務報導] 營業收入完整性與截止,[營運] 出貨與開票時點不一致,[法令遵循] 收入認列政策,Significant Risk — Higher risk associated with the control,營業收入、應收帳款,完整性 (Completeness)；截止 (Cutoff),確保出貨交易於適當會計期間認列收入,會計人員每日將出貨單與銷貨日報表逐筆核對，差異列入截止調節並呈主管簽核,每日,財務部會計課／會計主管,銷貨日報表,,,,,,,,,,,人工,偵測性 (Detective),含覆核要素之控制 (Controls with a Review Element),出貨單、銷貨日報表（ERP 產製）,"取得當日出貨清單與銷貨日報表
比對出貨日與發票／認列日
差異逾1日列入追蹤清單並查明原因
主管覆核調節表並簽核",截止調節表、差異追蹤清單、主管簽核紀錄,出貨日與認列日差異逾1日,,就公司現行銷售及收款循環作業，為因應「收入截止錯誤」風險——接近期末之出貨可能於不當會計期間認列收入（風險三大屬性—財務報導：[財務報導] 營業收入完整性與截止；營運：[營運] 出貨與開票時點不一致；法令遵循：[法令遵循] 收入認列政策；RoMM：Significant Risk — Higher risk associated with the control；重大科目／聲明：營業收入、應收帳款／完整性 (Completeness)；截止 (Cutoff)），設計控制目標為「確保出貨交易於適當會計期間認列收入」。由財務部會計課／會計主管以人工 (Manual)方式、採偵測性 (Detective)取向、屬含覆核要素之控制 (Controls with a Review Element)類型，依每日執行下列控制活動：會計人員每日將出貨單與銷貨日報表逐筆核對，差異列入截止調節並呈主管簽核。控制執行時使用之 IUC／制度為「銷貨日報表」。投入（Inputs）：出貨單、銷貨日報表（ERP 產製）。覆核／執行步驟（Specific activities）：1. 取得當日出貨清單與銷貨日報表2. 比對出貨日與發票／認列日3. 差異逾1日列入追蹤清單並查明原因4. 主管覆核調節表並簽核。產出（Outputs）：截止調節表、差異追蹤清單、主管簽核紀錄。調查門檻與後續追蹤：出貨日與認列日差異逾1日。,[銷售及收款循環｜收入截止錯誤] 確保出貨交易於適當會計期間認列收入：會計人員每日將出貨單與銷貨日報表逐筆核對，差異列入截止調節並呈主管簽核（頻率：每日；負責：財務部會計課／會計主管；IUC：銷貨日報表）,,銷售;截止;Significan Risk;累積範本;去識別範本,2026-08-26 18:45:24
LIB-AP-3WAY-01,採購三方比對核准,採購及付款循環,,,,不實或未授權之應付帳款,供應商發票可能未經有效驗收或採購依據即入帳付款,,[財務報導] 應付帳款存在／發生與正確性,[營運] 採購驗收與付款流程斷點,[法令遵循] 核決權限表,Significant Risk — Not higher risk associated with the control,應付帳款、存貨／費用,存在或發生 (Existence or Occurrence)；正確性 (Accuracy),僅對經授權且貨物／勞務已收受之交易認列應付帳款,應付帳款人員於入帳前執行採購單、驗收單與發票三方比對，不符者不得付款,即時／每筆交易,財務部應付帳款／採購單位,採購單／驗收單／供應商發票（ERP AP）,,,,,,,,,,,人工,預防性 (Preventive),核對驗證 (Verifications),採購單、驗收單、供應商發票,"比對數量與單價
確認驗收完成
確認核決權限
系統過帳或退回供應商",三方比對紀錄、系統過帳 log、退回文件,數量或金額任一不符即暫停付款,採購核決權限控制,就公司現行採購及付款循環作業，為因應「不實或未授權之應付帳款」風險——供應商發票可能未經有效驗收或採購依據即入帳付款（風險三大屬性—財務報導：[財務報導] 應付帳款存在／發生與正確性；營運：[營運] 採購驗收與付款流程斷點；法令遵循：[法令遵循] 核決權限表；RoMM：Significant Risk — Not higher risk associated with the control；重大科目／聲明：應付帳款、存貨／費用／存在或發生 (Existence or Occurrence)；正確性 (Accuracy)），設計控制目標為「僅對經授權且貨物／勞務已收受之交易認列應付帳款」。由財務部應付帳款／採購單位以人工方式、採預防性 (Preventive)取向、屬核對驗證 (Verifications)類型，依每筆交易執行下列控制活動：應付帳款人員於入帳前執行採購單、驗收單與發票三方比對，不符者不得付款。控制執行時使用之 IUC／制度為「採購單／驗收單／供應商發票（ERP AP）」。投入（Inputs）：採購單、驗收單、供應商發票。覆核／執行步驟（Specific activities）：1. 比對數量與單價2. 確認驗收完成3. 確認核決權限4. 系統過帳或退回供應商。產出（Outputs）：三方比對紀錄、系統過帳 log、退回文件。調查門檻與後續追蹤：數量或金額任一不符即暫停付款。本控制依賴其他控制／資訊：採購核決權限控制。,[採購及付款循環｜不實或未授權之應付帳款] 僅對經授權且貨物／勞務已收受之交易認列應付帳款：應付帳款人員於入帳前執行採購單、驗收單與發票三方比對，不符者不得付款（頻率：每筆交易；負責：財務部應付帳款／採購單位；IUC：採購單／驗收單／供應商發票（ERP AP））,,採購;三方比對;累積範本;去識別範本,2026-08-26 18:45:24
LIB-PR-BOM-01,生產｜用料與產出核對,生產循環,PR-101,用料管理作業,用料浪費或短溢,,實際用料與 BOM／工單差異未及時查明，導致成本與存貨不實,報導面,,,,Significant Risk — Not higher risk associated with the control,存貨、銷貨成本,存在或發生 (Existence or Occurrence)；正確性 (Accuracy),確保生產用料與產出依核准工單正確記錄,生產管理員每日比對工單用料與系統領料，差異逾門檻須呈主管簽核後調整,每日,生產管理／成本會計,工單／領料單／BOM,,,,,,,,,,,人工,偵測性 (Detective),含覆核要素之控制 (Controls with a Review Element),,,,,,就公司現行生產循環作業，為因應「（未命名風險）」風險——實際用料與 BOM／工單差異未及時查明，導致成本與存貨不實（風險三大屬性—財務報導：（未填）；營運：（未填）；法令遵循：（未填）；RoMM：Significant Risk — Not higher risk associated with the control；重大科目／聲明：存貨、銷貨成本／存在或發生 (Existence or Occurrence)；正確性 (Accuracy)），設計控制目標為「確保生產用料與產出依核准工單正確記錄」。由生產管理／成本會計以人工方式、採偵測性 (Detective)取向、屬含覆核要素之控制 (Controls with a Review Element)類型，依每日執行下列控制活動：生產管理員每日比對工單用料與系統領料，差異逾門檻須呈主管簽核後調整。控制執行時使用之 IUC／制度為「工單／領料單／BOM」。投入（Inputs）：工單／領料單／BOM。覆核／執行步驟（Specific activities）：生產管理員每日比對工單用料與系統領料，差異逾門檻須呈主管簽核後調整。產出（Outputs）：（請補充控制產出／留存軌跡）。,[生產循環｜未命名風險] 確保生產用料與產出依核准工單正確記錄：生產管理員每日比對工單用料與系統領料，差異逾門檻須呈主管簽核後調整（頻率：每日；負責：生產管理／成本會計；IUC：工單／領料單／BOM）,,生產;用料;累積範本;去識別範本,2026-08-26 18:45:24
LIB-PY-PAYROLL-01,薪工｜薪資異動核准,薪工循環,PY-101,薪資計算作業,未授權薪資異動,,薪資、職級或加給異動未經適當核准即入薪資系統,報導面,,,,Significant Risk — Higher risk associated with the control,薪資費用、應付薪資,發生 (Occurrence)；正確性 (Accuracy),確保薪資異動皆經權責主管核准後才生效,人資於過帳前檢核異動單簽核完整，系統僅允許已核准異動寫入薪資主檔,即時／每筆交易,人資／財務,薪資異動單／簽核紀錄,,,,,,,,,,,人工,預防性 (Preventive),授權與核准 (Authorizations and Approvals),,,,,,就公司現行薪工循環作業，為因應「（未命名風險）」風險——薪資、職級或加給異動未經適當核准即入薪資系統（風險三大屬性—財務報導：（未填）；營運：（未填）；法令遵循：（未填）；RoMM：Significant Risk — Higher risk associated with the control；重大科目／聲明：薪資費用、應付薪資／發生 (Occurrence)；正確性 (Accuracy)），設計控制目標為「確保薪資異動皆經權責主管核准後才生效」。由人資／財務以人工方式、採預防性 (Preventive)取向、屬授權與核准 (Authorizations and Approvals)類型，依每筆交易執行下列控制活動：人資於過帳前檢核異動單簽核完整，系統僅允許已核准異動寫入薪資主檔。控制執行時使用之 IUC／制度為「薪資異動單／簽核紀錄」。投入（Inputs）：薪資異動單／簽核紀錄。覆核／執行步驟（Specific activities）：人資於過帳前檢核異動單簽核完整，系統僅允許已核准異動寫入薪資主檔。產出（Outputs）：（請補充控制產出／留存軌跡）。,[薪工循環｜未命名風險] 確保薪資異動皆經權責主管核准後才生效：人資於過帳前檢核異動單簽核完整，系統僅允許已核准異動寫入薪資主檔（頻率：每筆交易；負責：人資／財務；IUC：薪資異動單／簽核紀錄）,,薪工;累積範本;去識別範本,2026-08-26 18:45:24
LIB-FN-LOAN-01,融資｜借款撥款覆核,融資循環,FN-101,借款管理作業,借款條件不符或未入帳,,借款合約條件與實際撥款／入帳不一致,報導面,,,,Significant Risk — Not higher risk associated with the control,銀行借款、利息費用,完整性 (Completeness)；評價或分攤 (Valuation or Allocation),確保借款撥款與合約條件一致並完整入帳,財務人員於撥款入帳前核對合約額度、利率與撥款通知，主管覆核後過帳,即時／每筆交易,財務部資金,借款合約／撥款通知,,,,,,,,,,,人工,偵測性 (Detective),核對驗證 (Verifications),,,,,,就公司現行融資循環作業，為因應「（未命名風險）」風險——借款合約條件與實際撥款／入帳不一致（風險三大屬性—財務報導：（未填）；營運：（未填）；法令遵循：（未填）；RoMM：Significant Risk — Not higher risk associated with the control；重大科目／聲明：銀行借款、利息費用／完整性 (Completeness)；評價或分攤 (Valuation or Allocation)），設計控制目標為「確保借款撥款與合約條件一致並完整入帳」。由財務部資金以人工方式、採偵測性 (Detective)取向、屬核對驗證 (Verifications)類型，依每筆交易執行下列控制活動：財務人員於撥款入帳前核對合約額度、利率與撥款通知，主管覆核後過帳。控制執行時使用之 IUC／制度為「借款合約／撥款通知」。投入（Inputs）：借款合約／撥款通知。覆核／執行步驟（Specific activities）：財務人員於撥款入帳前核對合約額度、利率與撥款通知，主管覆核後過帳。產出（Outputs）：（請補充控制產出／留存軌跡）。,[融資循環｜未命名風險] 確保借款撥款與合約條件一致並完整入帳：財務人員於撥款入帳前核對合約額度、利率與撥款通知，主管覆核後過帳（頻率：每筆交易；負責：財務部資金；IUC：借款合約／撥款通知）,,融資;累積範本;去識別範本,2026-08-26 18:45:24
LIB-FA-CAPEX-01,固定資產｜資本支出核准,固定資產循環,FA-101,購置管理作業,未核准資本支出入帳,,資本支出未經核決權限核准即採購或資本化,報導面,,,,Significant Risk — Not higher risk associated with the control,不動產廠房及設備,存在或發生 (Existence or Occurrence)；權利與義務 (Rights and Obligations),確保固定資產購置皆經適當核准並正確資本化,資產管理員於請購／驗收入帳前檢核核准層級與金額，不符者不得入帳,即時／每筆交易,資產管理／財務,資本支出申請單／驗收單,,,,,,,,,,,人工,預防性 (Preventive),授權與核准 (Authorizations and Approvals),,,,,,就公司現行固定資產循環作業，為因應「（未命名風險）」風險——資本支出未經核決權限核准即採購或資本化（風險三大屬性—財務報導：（未填）；營運：（未填）；法令遵循：（未填）；RoMM：Significant Risk — Not higher risk associated with the control；重大科目／聲明：不動產廠房及設備／存在或發生 (Existence or Occurrence)；權利與義務 (Rights and Obligations)），設計控制目標為「確保固定資產購置皆經適當核准並正確資本化」。由資產管理／財務以人工方式、採預防性 (Preventive)取向、屬授權與核准 (Authorizations and Approvals)類型，依每筆交易執行下列控制活動：資產管理員於請購／驗收入帳前檢核核准層級與金額，不符者不得入帳。控制執行時使用之 IUC／制度為「資本支出申請單／驗收單」。投入（Inputs）：資本支出申請單／驗收單。覆核／執行步驟（Specific activities）：資產管理員於請購／驗收入帳前檢核核准層級與金額，不符者不得入帳。產出（Outputs）：（請補充控制產出／留存軌跡）。,[固定資產循環｜未命名風險] 確保固定資產購置皆經適當核准並正確資本化：資產管理員於請購／驗收入帳前檢核核准層級與金額，不符者不得入帳（頻率：每筆交易；負責：資產管理／財務；IUC：資本支出申請單／驗收單）,,固定資產;累積範本;去識別範本,2026-08-26 18:45:24
LIB-IV-TRADE-01,投資｜交易覆核,投資循環,IV-101,投資交易作業,投資交易未授權或不完整,,投資買賣未經授權或交割結果未完整入帳,報導面,,,,Significant Risk — Higher risk associated with the control,透過損益按公允價值衡量之金融資產,存在或發生 (Existence or Occurrence)；完整性 (Completeness),確保投資交易經授權且交割結果完整正確入帳,投資管理員比對交易單、券商回報與帳簿，差異須於當日查明並呈主管,每日,投資管理／財務,交易單／券商對帳單,,,,,,,,,,,人工,偵測性 (Detective),核對驗證 (Verifications),,,,,,就公司現行投資循環作業，為因應「（未命名風險）」風險——投資買賣未經授權或交割結果未完整入帳（風險三大屬性—財務報導：（未填）；營運：（未填）；法令遵循：（未填）；RoMM：Significant Risk — Higher risk associated with the control；重大科目／聲明：透過損益按公允價值衡量之金融資產／存在或發生 (Existence or Occurrence)；完整性 (Completeness)），設計控制目標為「確保投資交易經授權且交割結果完整正確入帳」。由投資管理／財務以人工方式、採偵測性 (Detective)取向、屬核對驗證 (Verifications)類型，依每日執行下列控制活動：投資管理員比對交易單、券商回報與帳簿，差異須於當日查明並呈主管。控制執行時使用之 IUC／制度為「交易單／券商對帳單」。投入（Inputs）：交易單／券商對帳單。覆核／執行步驟（Specific activities）：投資管理員比對交易單、券商回報與帳簿，差異須於當日查明並呈主管。產出（Outputs）：（請補充控制產出／留存軌跡）。,[投資循環｜未命名風險] 確保投資交易經授權且交割結果完整正確入帳：投資管理員比對交易單、券商回報與帳簿，差異須於當日查明並呈主管（頻率：每日；負責：投資管理／財務；IUC：交易單／券商對帳單）,,投資;累積範本;去識別範本,2026-08-26 18:45:24
LIB-RD-PROJECT-01,研發｜專案支出歸屬覆核,研發循環,RD-101,研發支出歸屬作業,研發支出歸屬錯誤,,研發專案成本歸屬錯誤或費用／資本化分類不當,報導面,,,,Significant Risk — Not higher risk associated with the control,研究發展費用、無形資產,正確性 (Accuracy)；分類 (Classification),確保研發支出依專案與會計政策正確歸屬,會計每月覆核專案工時／費用歸屬表，異常項目標記後由專案主管確認,每月,研發管理／會計,專案費用歸屬表,,,,,,,,,,,人工,偵測性 (Detective),含覆核要素之控制 (Controls with a Review Element),,,,,,就公司現行研發循環作業，為因應「（未命名風險）」風險——研發專案成本歸屬錯誤或費用／資本化分類不當（風險三大屬性—財務報導：（未填）；營運：（未填）；法令遵循：（未填）；RoMM：Significant Risk — Not higher risk associated with the control；重大科目／聲明：研究發展費用、無形資產／正確性 (Accuracy)；分類 (Classification)），設計控制目標為「確保研發支出依專案與會計政策正確歸屬」。由研發管理／會計以人工方式、採偵測性 (Detective)取向、屬含覆核要素之控制 (Controls with a Review Element)類型，依每月執行下列控制活動：會計每月覆核專案工時／費用歸屬表，異常項目標記後由專案主管確認。控制執行時使用之 IUC／制度為「專案費用歸屬表」。投入（Inputs）：專案費用歸屬表。覆核／執行步驟（Specific activities）：會計每月覆核專案工時／費用歸屬表，異常項目標記後由專案主管確認。產出（Outputs）：（請補充控制產出／留存軌跡）。,[研發循環｜未命名風險] 確保研發支出依專案與會計政策正確歸屬：會計每月覆核專案工時／費用歸屬表，異常項目標記後由專案主管確認（頻率：每月；負責：研發管理／會計；IUC：專案費用歸屬表）,,研發;累積範本;去識別範本,2026-08-26 18:45:24
JL-EC-101-01,資訊單位與使用者單位之間有適當之權責劃分,電腦化資訊系統循環,EC-101,資訊處理單位之功能及職責劃分作業,職能分工,職能分工,使用者充當資訊系統開發者，導致該系統犧牲安全性以換取效能提升或被偏廢,營運面,,[營運] 使用者充當資訊系統開發者，導致該系統犧牲安全性以換取效能提升或被偏廢,,,,,資訊單位與使用者單位之間有適當之權責劃分,資訊單位在組織中之地位應為非隸屬使用者單位的獨立單位。,持續,,,,TBC,,,,,,,,,人工,預防性 (Preventive),,,,,,,就公司現行電腦化資訊系統循環作業，為因應「職能分工」風險——使用者充當資訊系統開發者，導致該系統犧牲安全性以換取效能提升或被偏廢（風險三大屬性—財務報導：（未填）；營運：[營運] 使用者充當資訊系統開發者，導致該系統犧牲安全性以換取效能提升或被偏廢；法令遵循：（未填）；RoMM：（RoMM 分類未填）；重大科目／聲明：（重大科目未填）／（聲明未填）），設計控制目標為「資訊單位與使用者單位之間有適當之權責劃分」。由（負責單位未填）以人工方式、採預防性控制取向、屬（類型未填）類型，依持續執行下列控制活動：資訊單位在組織中之地位應為非隸屬使用者單位的獨立單位。。控制執行時使用之 IUC／制度為「（未指定 IUC／制度）」。投入（Inputs）：（請補充投入資訊）。覆核／執行步驟（Specific activities）：資訊單位在組織中之地位應為非隸屬使用者單位的獨立單位。。產出（Outputs）：（請補充控制產出／留存軌跡）。,[電腦化資訊系統循環｜職能分工] 資訊單位與使用者單位之間有適當之權責劃分：資訊單位在組織中之地位應為非隸屬使用者單位的獨立單位。（頻率：持續；負責：—；IUC：—）,EC-101-01,RCM;資訊循環;首批;電腦化資訊系統循環;累積範本;去識別範本,2026-08-26 16:28:09
JL-EC-101-02,資訊單位內部有適當之權責劃分,電腦化資訊系統循環,EC-101,資訊處理單位之功能及職責劃分作業,職能分工,職能分工,資訊人員權限過大致犧牲系統安全性以換取維護便利性,營運面,,[營運] 資訊人員權限過大致犧牲系統安全性以換取維護便利性,,,,,資訊單位內部有適當之權責劃分,公司應明訂資訊單位之組織任務及功能職掌，並確保工作職責均有明確劃分，且不相容之職務不得由同一人兼任。,持續,,,,,,,,,,,,,人工,預防性 (Preventive),,,,,,,就公司現行電腦化資訊系統循環作業，為因應「職能分工」風險——資訊人員權限過大致犧牲系統安全性以換取維護便利性（風險三大屬性—財務報導：（未填）；營運：[營運] 資訊人員權限過大致犧牲系統安全性以換取維護便利性；法令遵循：（未填）；RoMM：（RoMM 分類未填）；重大科目／聲明：（重大科目未填）／（聲明未填）），設計控制目標為「資訊單位內部有適當之權責劃分」。由（負責單位未填）以人工方式、採預防性控制取向、屬（類型未填）類型，依持續執行下列控制活動：公司應明訂資訊單位之組織任務及功能職掌，並確保工作職責均有明確劃分，且不相容之職務不得由同一人兼任。。控制執行時使用之 IUC／制度為「（未指定 IUC／制度）」。投入（Inputs）：（請補充投入資訊）。覆核／執行步驟（Specific activities）：公司應明訂資訊單位之組織任務及功能職掌，並確保工作職責均有明確劃分，且不相容之職務不得由同一人兼任。。產出（Outputs）：（請補充控制產出／留存軌跡）。,[電腦化資訊系統循環｜職能分工] 資訊單位內部有適當之權責劃分：公司應明訂資訊單位之組織任務及功能職掌，並確保工作職責均有明確劃分，且不相容之職務不得由同一人兼任。（頻率：持續；負責：—；IUC：—）,EC-101-02,RCM;資訊循環;首批;電腦化資訊系統循環;累積範本;去識別範本,2026-08-26 16:28:09
JL-EC-101-03,重要資訊活動方向與公司目標一致且資金充裕不受營運表現影響,電腦化資訊系統循環,EC-101,資訊處理單位之功能及職責劃分作業,策略管理,策略管理,資訊活動方向偏離公司短中長期目標,營運面,,[營運] 資訊活動方向偏離公司短中長期目標,,,,,重要資訊活動方向與公司目標一致且資金充裕不受營運表現影響,資訊單位研擬短、中、長期資訊計劃及年度預算，應經相關利害關係人參與評估，並取得高階管理人員核准。,每年,,,,,,,,,,,,,人工,預防性 (Preventive),,,,,,,就公司現行電腦化資訊系統循環作業，為因應「策略管理」風險——資訊活動方向偏離公司短中長期目標（風險三大屬性—財務報導：（未填）；營運：[營運] 資訊活動方向偏離公司短中長期目標；法令遵循：（未填）；RoMM：（RoMM 分類未填）；重大科目／聲明：（重大科目未填）／（聲明未填）），設計控制目標為「重要資訊活動方向與公司目標一致且資金充裕不受營運表現影響」。由（負責單位未填）以人工方式、採預防性控制取向、屬（類型未填）類型，依每年執行下列控制活動：資訊單位研擬短、中、長期資訊計劃及年度預算，應經相關利害關係人參與評估，並取得高階管理人員核准。。控制執行時使用之 IUC／制度為「（未指定 IUC／制度）」。投入（Inputs）：（請補充投入資訊）。覆核／執行步驟（Specific activities）：資訊單位研擬短、中、長期資訊計劃及年度預算，應經相關利害關係人參與評估，並取得高階管理人員核准。。產出（Outputs）：（請補充控制產出／留存軌跡）。,[電腦化資訊系統循環｜策略管理] 重要資訊活動方向與公司目標一致且資金充裕不受營運表現影響：資訊單位研擬短、中、長期資訊計劃及年度預算，應經相關利害關係人參與評估，並取得高階管理人員核准。（頻率：每年；負責：—；IUC：—）,EC-101-03,RCM;資訊循環;首批;電腦化資訊系統循環;累積範本;去識別範本,2026-08-26 16:28:09
JL-EC-101-04,資訊關鍵作業具備適當人員備援能力,電腦化資訊系統循環,EC-101,資訊處理單位之功能及職責劃分作業,代理人訓練,代理人訓練,資訊系統維運中斷或異常事件無法及時處理,營運面,,[營運] 資訊系統維運中斷或異常事件無法及時處理,,,,,資訊關鍵作業具備適當人員備援能力,資訊單位應落實職務代理人交叉訓練，以加強人員備援能力與偵防弊端。,不定期,,,,,,,,,,,,,人工,預防性 (Preventive),,,,,,,就公司現行電腦化資訊系統循環作業，為因應「代理人訓練」風險——資訊系統維運中斷或異常事件無法及時處理（風險三大屬性—財務報導：（未填）；營運：[營運] 資訊系統維運中斷或異常事件無法及時處理；法令遵循：（未填）；RoMM：（RoMM 分類未填）；重大科目／聲明：（重大科目未填）／（聲明未填）），設計控制目標為「資訊關鍵作業具備適當人員備援能力」。由（負責單位未填）以人工方式、採預防性控制取向、屬（類型未填）類型，依不定期執行下列控制活動：資訊單位應落實職務代理人交叉訓練，以加強人員備援能力與偵防弊端。。控制執行時使用之 IUC／制度為「（未指定 IUC／制度）」。投入（Inputs）：（請補充投入資訊）。覆核／執行步驟（Specific activities）：資訊單位應落實職務代理人交叉訓練，以加強人員備援能力與偵防弊端。。產出（Outputs）：（請補充控制產出／留存軌跡）。,[電腦化資訊系統循環｜代理人訓練] 資訊關鍵作業具備適當人員備援能力：資訊單位應落實職務代理人交叉訓練，以加強人員備援能力與偵防弊端。（頻率：不定期；負責：—；IUC：—）,EC-101-04,RCM;資訊循環;首批;電腦化資訊系統循環;累積範本;去識別範本,2026-08-26 16:28:09
JL-EC-101-05,公司員工具備智慧財產權保護意識並遵循相關規範,電腦化資訊系統循環,EC-101,資訊處理單位之功能及職責劃分作業,智慧財產權,智慧財產權,員工侵害公司或第三方智慧財產權,營運面,,[營運] 員工侵害公司或第三方智慧財產權,,,,,公司員工具備智慧財產權保護意識並遵循相關規範,公司應於員工到職或相關教育訓練時，向員工宣導智慧財產權相關法令及公司規範，並要求員工遵循不得侵害公司或第三方智慧財產權之規定。,TBC,,,,,,,,,,,,,人工,預防性 (Preventive),,,,,,,就公司現行電腦化資訊系統循環作業，為因應「智慧財產權」風險——員工侵害公司或第三方智慧財產權（風險三大屬性—財務報導：（未填）；營運：[營運] 員工侵害公司或第三方智慧財產權；法令遵循：（未填）；RoMM：（RoMM 分類未填）；重大科目／聲明：（重大科目未填）／（聲明未填）），設計控制目標為「公司員工具備智慧財產權保護意識並遵循相關規範」。由（負責單位未填）以人工方式、採預防性控制取向、屬（類型未填）類型，依TBC執行下列控制活動：公司應於員工到職或相關教育訓練時，向員工宣導智慧財產權相關法令及公司規範，並要求員工遵循不得侵害公司或第三方智慧財產權之規定。。控制執行時使用之 IUC／制度為「（未指定 IUC／制度）」。投入（Inputs）：（請補充投入資訊）。覆核／執行步驟（Specific activities）：公司應於員工到職或相關教育訓練時，向員工宣導智慧財產權相關法令及公司規範，並要求員工遵循不得侵害公司或第三方智慧財產權之規定。。產出（Outputs）：（請補充控制產出／留存軌跡）。,[電腦化資訊系統循環｜智慧財產權] 公司員工具備智慧財產權保護意識並遵循相關規範：公司應於員工到職或相關教育訓練時，向員工宣導智慧財產權相關法令及公司規範，並要求員工遵循不得侵害公司或第三方智慧財產權之規定。（頻率：TBC；負責：—；IUC：—）,EC-101-05,RCM;資訊循環;首批;電腦化資訊系統循環;累積範本;去識別範本,2026-08-26 16:28:09
JL-EC-102-01,系統程式變更管理程序具一致性及可追溯性,電腦化資訊系統循環,EC-102,系統程式修改控制作業,制度與程序,制度與程序,系統程式變更無效率或發生錯誤,營運面,,[營運] 系統程式變更無效率或發生錯誤,,,,,系統程式變更管理程序具一致性及可追溯性,公司應建立系統程式修改管理程序，明訂變更申請、測試、驗收、核准及部署等作業規範，並據以執行。,持續,,,,,,,,,,,,,人工,預防性 (Preventive),,,,,,,就公司現行電腦化資訊系統循環作業，為因應「制度與程序」風險——系統程式變更無效率或發生錯誤（風險三大屬性—財務報導：（未填）；營運：[營運] 系統程式變更無效率或發生錯誤；法令遵循：（未填）；RoMM：（RoMM 分類未填）；重大科目／聲明：（重大科目未填）／（聲明未填）），設計控制目標為「系統程式變更管理程序具一致性及可追溯性」。由（負責單位未填）以人工方式、採預防性控制取向、屬（類型未填）類型，依持續執行下列控制活動：公司應建立系統程式修改管理程序，明訂變更申請、測試、驗收、核准及部署等作業規範，並據以執行。。控制執行時使用之 IUC／制度為「（未指定 IUC／制度）」。投入（Inputs）：（請補充投入資訊）。覆核／執行步驟（Specific activities）：公司應建立系統程式修改管理程序，明訂變更申請、測試、驗收、核准及部署等作業規範，並據以執行。。產出（Outputs）：（請補充控制產出／留存軌跡）。,[電腦化資訊系統循環｜制度與程序] 系統程式變更管理程序具一致性及可追溯性：公司應建立系統程式修改管理程序，明訂變更申請、測試、驗收、核准及部署等作業規範，並據以執行。（頻率：持續；負責：—；IUC：—）,EC-102-01,RCM;資訊循環;首批;電腦化資訊系統循環;累積範本;去識別範本,2026-08-26 16:28:09
JL-EC-102-02,重要系統版本及架構符合實際作業需求,電腦化資訊系統循環,EC-102,系統程式修改控制作業,系統變更管理,系統變更管理,系統版本或架構改動錯誤，導致系統功能異常、交易處理失敗、報表產出錯誤或批次作業中斷,營運面,,[營運] 系統版本或架構改動錯誤，導致系統功能異常、交易處理失敗、報表產出錯誤或批次作業中斷,,,,,重要系統版本及架構符合實際作業需求,重要系統版本升級及架構變更，應經資訊單位主管核准後，由資訊單位或委外廠商執行。,不定期,,,,,,,,,,,,,人工,預防性 (Preventive),,,,,,,就公司現行電腦化資訊系統循環作業，為因應「系統變更管理」風險——系統版本或架構改動錯誤，導致系統功能異常、交易處理失敗、報表產出錯誤或批次作業中斷（風險三大屬性—財務報導：（未填）；營運：[營運] 系統版本或架構改動錯誤，導致系統功能異常、交易處理失敗、報表產出錯誤或批次作業中斷；法令遵循：（未填）；RoMM：（RoMM 分類未填）；重大科目／聲明：（重大科目未填）／（聲明未填）），設計控制目標為「重要系統版本及架構符合實際作業需求」。由（負責單位未填）以人工方式、採預防性控制取向、屬（類型未填）類型，依不定期執行下列控制活動：重要系統版本升級及架構變更，應經資訊單位主管核准後，由資訊單位或委外廠商執行。。控制執行時使用之 IUC／制度為「（未指定 IUC／制度）」。投入（Inputs）：（請補充投入資訊）。覆核／執行步驟（Specific activities）：重要系統版本升級及架構變更，應經資訊單位主管核准後，由資訊單位或委外廠商執行。。產出（Outputs）：（請補充控制產出／留存軌跡）。,[電腦化資訊系統循環｜系統變更管理] 重要系統版本及架構符合實際作業需求：重要系統版本升級及架構變更，應經資訊單位主管核准後，由資訊單位或委外廠商執行。（頻率：不定期；負責：—；IUC：—）,EC-102-02,RCM;資訊循環;首批;電腦化資訊系統循環;累積範本;去識別範本,2026-08-26 16:28:09
